name,course,difficulty,baseName,baseAmount,liqueurName,liqueurAmount,mixerName,mixerAmount,subName,subAmount,glass,technique,choices_baseName,choices_baseAmount,choices_liqueurName,choices_liqueurAmount,choices_mixerName,choices_mixerAmount,choices_subName,choices_subAmount,choices_glass
XYZ,spirits,,ラム,30ml,コアントロー,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,コアントロー|アマレット|ブルーキュラソー,,レモンジュース|ライムジュース|グレープフルーツジュース,,なし|レモンカット|ライムカット,,
マルガリータ,spirits,,テキーラ,30ml,コアントロー,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,テキーラ|ジン|ラム|ウォッカ,30ml|45ml,コアントロー|ドライベルモット|ピーチリキュール,,レモンジュース|ライムジュース|オレンジジュース,,なし|スノースタイル|ライムカット,,
テキーラサンライズ,spirits,,テキーラ,45ml,,,オレンジジュース,UP,グレナデンシロップ,20ml,専用グラス,ビルド,テキーラ|ウォッカ|ラム|ジン,30ml|45ml,,,オレンジジュース|グレープフルーツジュース|トニックウォーター,,なし|グレナデンシロップ|ライムカット,1tsp|10ml|15ml|20ml,
カシスオレンジ,liqueur,,カシスリキュール,45ml,,,オレンジジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カシスリキュール|ピーチリキュール|カンパリ|カルーア,30ml|45ml,,,オレンジジュース|グレープフルーツジュース|ソーダ|ウーロン茶,,なし|ライムカット|レモンカット,,
カシスソーダ,liqueur,,カシスリキュール,45ml,,,ソーダ,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カシスリキュール|ピーチリキュール|カンパリ,30ml|45ml,,,ソーダ|トニックウォーター|ジンジャーエール|オレンジジュース,,なし|ライムカット|レモンカット,,
カシスウーロン,liqueur,,カシスリキュール,45ml,,,ウーロン茶,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カシスリキュール|ピーチリキュール|カンパリ,30ml|45ml,,,ウーロン茶|オレンジジュース|ソーダ|グレープフルーツジュース,,なし|ライムカット|レモンカット,,
ファジーネーブル,liqueur,,ピーチリキュール,45ml,,,オレンジジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,ピーチリキュール|カシスリキュール|カンパリ|カルーア,30ml|45ml,,,オレンジジュース|グレープフルーツジュース|ソーダ|ウーロン茶,,なし|ライムカット|レモンカット,,
ピーチウーロン,liqueur,,ピーチリキュール,45ml,,,ウーロン茶,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,ピーチリキュール|カシスリキュール|カンパリ|カルーア,30ml|45ml,,,ウーロン茶|オレンジジュース|ソーダ|グレープフルーツジュース,,なし|ライムカット|レモンカット,,
カンパリオレンジ,liqueur,,カンパリ,45ml,,,オレンジジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カンパリ,30ml|45ml,,,オレンジジュース|ソーダ|グレープフルーツジュース|トニックウォーター,,なし|ライムカット|レモンカット,,
カンパリソーダ,liqueur,,カンパリ,45ml,,,ソーダ,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カンパリ,30ml|45ml,,,ソーダ|トニックウォーター|ジンジャーエール|オレンジジュース,,なし|ライムカット|レモンカット,,
スプモーニ,liqueur,,カンパリ,30ml,,,グレープフルーツジュース,45ml,トニックウォーター,UP,コリンズグラス/ゾンビグラス,ビルド,カンパリ|カシスリキュール|ピーチリキュール|カルーア,30ml|45ml,,,グレープフルーツジュース|オレンジジュース|コアントロー,30ml|45ml|UP,なし|トニックウォーター|ソーダ|ジンジャーエール,30ml|45ml|UP,
カルーアミルク,liqueur,,カルーア,30ml,,,牛乳,UP,なし,,ロックグラス,ビルド,カルーア|カシスリキュール|ピーチリキュール|カンパリ,30ml|45ml,,,牛乳|ウーロン茶|オレンジジュース|ソーダ,,なし|ライムカット|レモンカット,,
ブルームーン,spirits,intermediate,ジン,30ml,パルフェタムール,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,パルフェタムール|コアントロー|ブルーキュラソー|ピーチリキュール,1tsp|10ml|15ml,レモンジュース|ライムジュース|グレープフルーツジュース,10ml|15ml|20ml,なし|ライムカット|レモンカット,,
ダイキリ,spirits,intermediate,ラム,45ml,,,ライムジュース,15ml,ガムシロップ,1tsp,カクテルグラス,シェイク,ラム|ジン|ウォッカ|テキーラ,30ml|45ml,,,ライムジュース|レモンジュース|グレープフルーツジュース,10ml|15ml|20ml,なし|ガムシロップ|グレナデンシロップ|ライムカット,1tsp|10ml|15ml,
ジンバック,spirits,intermediate,ジン,45ml,,,ジンジャーエール,UP,ライムカット,,コリンズグラス/ゾンビグラス,ビルド,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,ジンジャーエール|ソーダ|トニックウォーター|オレンジジュース,30ml|45ml|UP,なし|ライムカット|レモンカット|スノースタイル,,
ジンリッキー,spirits,intermediate,ジン,45ml,,,ソーダ,UP,ライムカット,,コリンズグラス/ゾンビグラス,ビルド,ジン|ウォッカ|ラム|テキーラ,30ml|45ml,,,ソーダ|トニックウォーター|ジンジャーエール|オレンジジュース,30ml|45ml|UP,なし|ライムカット|レモンカット|スノースタイル,,
メキシコーラ,spirits,intermediate,テキーラ,45ml,,,コーラ,UP,ライムカット,,専用グラス,ビルド,テキーラ|ラム|ジン|ウォッカ,30ml|45ml,,,コーラ|ジンジャーエール|トニックウォーター|ソーダ,30ml|45ml|UP,なし|ライムカット|レモンカット,,専用グラス|コリンズグラス/ゾンビグラス|ロックグラス|カクテルグラス
キューバリバー,spirits,intermediate,ラム,45ml,,,コーラ,UP,ライムカット,,コリンズグラス/ゾンビグラス,ビルド,ラム|テキーラ|ジン|ウォッカ,30ml|45ml,,,コーラ|ジンジャーエール|ソーダ|トニックウォーター,30ml|45ml|UP,なし|ライムカット|レモンカット,,
ボストンクーラー,spirits,intermediate,ラム,45ml,レモンジュース,15ml,ジンジャーエール,UP,ガムシロップ,1tsp,コリンズグラス/ゾンビグラス,シェイク,ラム|ジン|ウォッカ|テキーラ,30ml|45ml,レモンジュース|ライムジュース|グレープフルーツジュース|なし,1tsp|10ml|15ml,ジンジャーエール|コーラ|ソーダ|トニックウォーター,30ml|45ml|UP,なし|ガムシロップ|グレナデンシロップ|ライムカット,1tsp|5ml|10ml|15ml,
モヒート,spirits,intermediate,ラム,45ml,シロップ,5ml,ソーダ,UP,ミント,,コリンズグラス/ゾンビグラス,ビルド,ラム|ジン|ウォッカ|テキーラ,30ml|45ml,シロップ|ガムシロップ|ライムジュース|なし,1tsp|5ml|10ml|15ml,ソーダ|トニックウォーター|ジンジャーエール|コーラ,30ml|45ml|UP,なし|ミント|ライムカット|レモンカット,,
ブラッディメアリー,spirits,intermediate,ウォッカ,40ml,,,トマトジュース,UP,レモンカット,,コリンズグラス/ゾンビグラス,ビルド,ウォッカ|ジン|ラム|テキーラ,30ml|40ml|45ml,,,トマトジュース|オレンジジュース|グレープフルーツジュース|ソーダ,30ml|45ml|UP,なし|レモンカット|ライムカット,,
カシスマンゴー,liqueur,intermediate,カシスリキュール,45ml,,,マンゴージュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カシスリキュール|ピーチリキュール|カンパリ|ディタ,30ml|45ml,,,マンゴージュース|オレンジジュース|グレープフルーツジュース|ソーダ,30ml|45ml|UP,なし|ライムカット|レモンカット,,
マダムロゼ,liqueur,intermediate,カシスリキュール,45ml,,,グレープフルーツジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,カシスリキュール|ピーチリキュール|カンパリ|ディタ,30ml|45ml,,,グレープフルーツジュース|オレンジジュース|マンゴージュース|ソーダ,30ml|45ml|UP,なし|ライムカット|レモンカット,,
ディタグレープフルーツ,liqueur,intermediate,ディタ,30ml,,,グレープフルーツジュース,UP,なし,,コリンズグラス/ゾンビグラス,ビルド,ディタ|カシスリキュール|ピーチリキュール|カンパリ,30ml|45ml,,,グレープフルーツジュース|オレンジジュース|マンゴージュース|ソーダ,30ml|45ml|UP,なし|ライムカット|レモンカット,,
各種フィズ,liqueur,intermediate,各種リキュール,45ml,ガムシロップ,1tsp,ソーダ,UP,レモンジュース,15ml,コリンズグラス/ゾンビグラス,シェイク,各種リキュール,30ml|45ml,ガムシロップ|シロップ|グレナデンシロップ|なし,1tsp|5ml|10ml|15ml,ソーダ|トニックウォーター|ジンジャーエール|オレンジジュース,30ml|45ml|UP,なし|レモンジュース|ライムジュース,1tsp|10ml|15ml,
マンハッタン,whiskyBrandy,intermediate,ライウイスキー,45ml,,,スイートベルモット,15ml,マンゴスチュウ,1dash,カクテルグラス,ステア,ライウイスキー|ラム|ブランデー|カルヴァドス,30ml|45ml,,,スイートベルモット|ドライベルモット|アマレット|コアントロー,10ml|15ml|30ml,なし|マンゴスチュウ|グレナデンシロップ|ガムシロップ,1dash|1tsp|5ml,
ラスティネイル,whiskyBrandy,intermediate,ウイスキー,30ml,,,ドランブイ,30ml,なし,,ロックグラス,ビルド,ウイスキー|ブランデー|ラム|ジン,30ml|45ml,,,ドランブイ|アマレット|コアントロー|スイートベルモット,15ml|30ml|45ml,なし|レモンカット|ライムカット,,
ゴッドファーザー,whiskyBrandy,intermediate,ウイスキー,45ml,,,アマレット,15ml,なし,,ロックグラス,ビルド,ウイスキー|ブランデー|ラム|ジン,30ml|45ml,,,アマレット|ドランブイ|コアントロー|スイートベルモット,15ml|30ml|45ml,なし|レモンカット|ライムカット,,
サイドカー,whiskyBrandy,intermediate,ブランデー,30ml,コアントロー,15ml,レモンジュース,15ml,なし,,カクテルグラス,シェイク,ブランデー|ウイスキー|ラム|ジン,30ml|45ml,コアントロー|アマレット|ドランブイ|ブルーキュラソー,10ml|15ml|30ml,レモンジュース|ライムジュース|グレープフルーツジュース,10ml|15ml|20ml,なし|ライムカット|レモンカット,,
ジャックローズ,whiskyBrandy,intermediate,カルヴァドス,40ml,,,ライムジュース,10ml,グレナデンシロップ,1tsp,カクテルグラス,シェイク,カルヴァドス|ブランデー|ウイスキー|ラム,15ml|60ml|60ml,,,ライムジュース|レモンジュース|グレープフルーツジュース,10ml|15ml|20ml,なし|グレナデンシロップ|ガムシロップ,1tsp|10ml,
キール,wine,intermediate,白ワイン,80ml,,,カシスリキュール,20ml,なし,,ワイングラス,ビルド,白ワイン|赤ワイン|スパークリングワイン,45ml|80ml|90ml,,,カシスリキュール|ジンジャーエール|ソーダ|コーラ,10ml|20ml|30ml,なし|レモンカット|ライムカット,,ワイングラス|カクテルグラス|ロックグラス|コリンズグラス/ゾンビグラス
スプリッツァー,wine,intermediate,白ワイン,45ml,,,ソーダ,UP,なし,,ワイングラス,ビルド,白ワイン|赤ワイン|スパークリングワイン,30ml|45ml|90ml,,,ソーダ|ジンジャーエール|コーラ|カシスリキュール,30ml|45ml|UP,なし|レモンカット|ライムカット,,ワイングラス|カクテルグラス|ロックグラス|コリンズグラス/ゾンビグラス
オペレーター,wine,intermediate,白ワイン,45ml,,,ジンジャーエール,UP,なし,,ワイングラス,ビルド,白ワイン|赤ワイン|スパークリングワイン,30ml|45ml|90ml,,,ジンジャーエール|ソーダ|コーラ|カシスリキュール,30ml|45ml|UP,なし|レモンカット|ライムカット,,ワイングラス|カクテルグラス|ロックグラス|コリンズグラス/ゾンビグラス
キティ,wine,intermediate,赤ワイン,45ml,,,ジンジャーエール,UP,なし,,ワイングラス,ビルド,赤ワイン|白ワイン|スパークリングワイン,45ml|80ml|90ml,,,ジンジャーエール|ソーダ|コーラ|カシスリキュール,30ml|45ml|UP,なし|レモンカット|ライムカット,,ワイングラス|カクテルグラス|ロックグラス|コリンズグラス/ゾンビグラス
カリモーチョ,wine,intermediate,赤ワイン,45ml,,,コーラ,UP,なし,,ワイングラス,ビルド,赤ワイン|白ワイン|スパークリングワイン,45ml|80ml|90ml,,,コーラ|ジンジャーエール|ソーダ|カシスリキュール,30ml|45ml|UP,なし|レモンカット|ライムカット,,ワイングラス|カクテルグラス|ロックグラス|コリンズグラス/ゾンビグラス
